routeid,stand1,stand2,stand3,stand4,stand5,stand6
0118EXT(NS)UP_DTC,"['temp_5757', 'Mayur Vihar Ph-III', 'temp_5757', 'Mayur Vihar Ph-III']",,,,,
0131(NS)UP_DTC,"['245', 'Jahangir Puri Metro Station', '245', 'Jahangir Puri Metro Station']",,,,,
0205(NS)DOWN_DTC,"['temp_5135', 'Seelampur Metro Station', '781', 'Seelampur Metro Station']",,,,,
0205(NS)UP_DTC,"['56', 'Seelampur Metro Station', 'temp_5135', 'Seelampur Metro Station']",,,,,
0261(NS)DOWN_DTC,"['1750', 'Gagan Cinema', 'temp_4363', 'Gagan Cinema']","['temp_5439', 'Nizamuddin Road Bridge', 'temp_5439', 'Nizamuddin Road Bridge']",,,,
0261(NS)UP_DTC,"['447', 'Nizamuddin Road Bridge', 'temp_5439', 'Nizamuddin Road Bridge']",,,,,
0405(NS)UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7175', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']",,,,
0419(NS)UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7175', 'Sunder Nagar']",,,,,
044(NS)UP_DTC,"['temp_7174', 'Sunder Nagar', 'temp_7174', 'Sunder Nagar']","['temp_5071', 'Nizamuddin Extension', '1788', 'Nizamuddin Extension']","['1792', 'Mata Mandir New Friends Colony', 'temp_5701', 'Mata Mandir New Friends Colony']",,,
0502(NS)UP_DTC,"['temp_5380', 'Prithvi Raj Road Crossing', '1026', 'Prithvi Raj Road Crossing']",,,,,
0543A(NS)UP_DTC,"['1217', 'APS Colony', 'temp_5538', 'APS Colony']",,,,,
0604(NS)DOWN_DTC,"['temp_5924', 'Vasant Kunj Terminal', 'temp_5924', 'Vasant Kunj Terminal']",,,,,
072(NS)UP_DTC,"['2520', 'Moti Nagar Market', '1532', 'Moti Nagar Market']","['temp_6092', 'Dholi Piao', 'temp_6093', 'Dholi Piao']","['169', 'Uttam Nagar', '905', 'Uttam Nagar']",,,
0729(NS)UP_DTC,"['1217', 'APS Colony', 'temp_5538', 'APS Colony']",,,,,
0740(NS)DOWN_DTC,"['899', 'A-3 Janak Puri', '707', 'A-3 Janak Puri']","['1114', 'Delhi Secretariat', 'temp_4494', 'Delhi Secretariat']",,,,
