DTC_routes,old_stops,new_stops,difference
0114(NS)DOWN,0,68,-68
0114(NS)UP,68,69,-1
0118EXT(NS)UP,38,39,-1
012(NS)UP,92,93,-1
012UP,0,93,-93
0131(NS)UP,58,59,-1
0205(NS)DOWN,32,32,0
0205(NS)UP,37,37,0
0236(NS)DOWN,58,58,0
0236(NS)UP,55,55,0
0261(NS)DOWN,45,46,-1
0261(NS)UP,49,49,0
0405(NS)DOWN,43,43,0
0405(NS)UP,42,42,0
0419(NS)DOWN,34,34,0
0419(NS)UP,32,32,0
044(NS)UP,45,46,-1
0502(NS)DOWN,37,37,0
0502(NS)UP,36,36,0
0543A(NS)DOWN,0,44,-44
0543A(NS)UP,49,49,0
0604(NS)DOWN,44,46,-2
0604(NS)UP,43,44,-1
072(NS)UP,69,69,0
0729(NS)DOWN,45,45,0
0729(NS)UP,46,46,0
0740(NS)DOWN,75,76,-1
0740(NS)UP,77,79,-2
0740ONLYUPDIRECTIONNIGHTSERVICE,0,40,-40
0753(NS)DOWN,61,125,-64
0753(NS)UP,58,122,-64
0901(NS)DOWN,55,56,-1
0901(NS)UP,59,60,-1
0926(NS)DOWN,57,58,-1
0926(NS)UP,52,53,-1
0929(NS)DOWN,47,47,0
0929(NS)UP,43,43,0
0938DOWN(NS),0,13,-13
0938UP(NS),0,13,-13
0943(NS)DOWN,60,62,-2
0943(NS)UP,60,62,-2
0AIRPORTEXP-4(NS)DOWN,42,43,-1
0AIRPORTEXP-4(NS)UP,42,43,-1
0GL-23(NS)DOWN,24,25,-1
0GL-23(NS)UP,23,23,0
0OMS(+)(NS)UP,72,73,-1
0OMS(-)(NS)DOWN,70,71,-1
0TMS(+)(NS)UP,65,68,-3
0TMS(-)(NS)DOWN,65,67,-2
100ADOWN,47,47,0
100AUP,48,48,0
100EXTDOWN,46,46,0
100EXTUP,46,47,-1
102DOWN,0,16,-16
102UP,0,16,-16
103DOWN,48,49,-1
103STLDOWN,27,27,0
103STLUP,35,35,0
103UP,48,48,0
105DOWN,32,32,0
105UP,32,32,0
106ADOWN,51,57,-6
106AUP,51,53,-2
106DOWN,70,74,-4
106UP,68,70,-2
107DOWN,61,65,-4
107UP,62,65,-3
108DOWN,46,48,-2
108UP,45,46,-1
109DOWN,33,34,-1
109UP,32,32,0
112DOWN,49,49,0
112UP,52,53,-1
113DOWN,57,61,-4
113EXTDOWN,44,47,-3
113EXTUP,46,47,-1
113UP,63,63,0
114ADOWN,52,52,0
114AUP,52,52,0
114BDOWN,51,50,1
114BUP,51,50,1
114DOWN,73,74,-1
114EXTDOWN,48,48,0
114EXTUP,48,48,0
114SPLDOWN,0,11,-11
114SPLUP,0,11,-11
114UP,68,69,-1
115DOWN,19,20,-1
115UP,14,15,-1
116BDOWN,46,48,-2
116BUP,46,48,-2
116DOWN,55,57,-2
116UP,50,55,-5
118EXTDOWN,41,41,0
118EXTUP,38,39,-1
119DOWN,60,58,2
119UP,55,58,-3
